,index,0
0,o,3893
1,guarani,7
2,de,3865
3,josé,3
4,alencar,3
5,fonte,2
6,20a,1
7,ed,1
8,são,48
9,paulo,2
10,ática,1
11,1996,1
12,bom,28
13,livro,3
14,texto,1
15,proveniente,2
16,a,4380
17,biblioteca,1
18,virtual,1
19,do,1367
20,estudante,1
21,brasileiro,3
22,httpwwwbibvirtfuturouspbr,1
23,escola,1
24,futuro,13
25,da,1087
26,universidade,1
27,permitido,1
28,uso,3
29,apenas,115
30,para,849
31,fins,2
32,educacionais,1
33,este,87
34,material,2
35,pode,44
36,ser,119
37,redistribuído,1
38,livremente,4
39,desde,43
40,que,4283
41,não,1276
42,seja,36
43,alterado,1
44,e,3587
45,as,696
46,informações,2
47,acima,8
48,sejam,2
49,mantidas,1
50,maiores,2
51,escreva,2
52,bibvirtfuturouspbr,2
53,estamos,12
54,em,698
55,busca,5
56,patrocinadores,1
57,voluntários,1
58,nos,173
59,ajudar,3
60,manter,1
61,projeto,19
62,se,1086
63,você,1
64,quer,47
65,alguma,75
66,forma,8
67,mande,1
68,um,1653
69,email,1
70,saiba,3
71,como,593
72,isso,65
73,é,404
74,possível,32
75,prólogo,1
76,minha,123
77,prima,49
78,gostou,1
79,história,15
80,pedeme,1
81,romance,2
82,acha,4
83,posso,12
84,fazer,97
85,coisa,90
86,neste,43
87,ramo,11
88,literatura,1
89,enganase,1
90,quando,279
91,conta,9
92,aquilo,11
93,impressionou,1
94,profundamente,8
95,coração,100
96,fala,13
97,exprime,2
98,outros,66
99,sentiram,6
100,ou,131
101,podem,5
102,sentir,12
103,memória,11
104,imaginação,7
105,esta,106
106,errar,1
107,exagerarse,1
108,sempre,71
109,verdadeiro,11
110,diz,10
111,senão,56
112,sentiu,42
113,sentimento,40
114,qualquer,27
115,ele,401
116,tem,43
117,sua,915
118,beleza,25
119,assim,112
120,me,200
121,julgo,2
122,habilitado,1
123,escrever,4
124,apesar,45
125,já,180
126,ter,84
127,feito,56
128,com,1011
129,vida,170
130,entretanto,39
131,satisfazêla,2
132,quero,34
133,aproveitar,7
134,minhas,9
135,horas,45
136,trabalho,19
137,copiar,2
138,remoçar,1
139,velho,69
140,manuscrito,3
141,encontrei,1
142,armário,1
143,desta,50
144,casa,190
145,comprei,1
146,estava,187
147,abandonado,8
148,quase,64
149,todo,63
150,estragado,1
151,pela,211
152,umidade,2
153,pelo,167
154,cupim,1
155,esse,134
156,roedor,1
157,eterno,2
158,antes,74
159,dilúvio,1
160,havia,195
161,agarrado,2
162,à,453
163,arca,1
164,noé,2
165,pôde,29
166,escapar,6
167,ao,586
168,cataclisma,1
169,previnolhe,1
170,encontrará,1
171,cenas,9
172,comuns,1
173,atualmente,2
174,condene,1
175,primeira,55
176,leitura,1
177,ver,101
178,outras,20
179,explicam,1
180,enviolhe,1
181,parte,68
182,meu,138
183,eu,156
184,carlota,1
185,temos,10
186,decifrado,1
187,longos,3
188,serões,2
189,das,247
190,nossas,11
191,noites,5
192,inverno,1
193,escurece,1
194,aqui,50
195,às,73
196,cinco,12
197,adeus,12
198,minas,12
199,12,1
200,dezembro,1
201,leitor,1
202,publicado,1
203,1857,1
204,disse,244
205,aquela,54
206,edição,2
207,uma,1183
208,prova,11
209,tipográfica,1
210,algum,70
211,dia,96
212,talvez,52
213,autor,4
214,dispusesse,1
215,rever,3
216,nova,9
217,devia,73
218,dar,44
219,satisfação,13
220,empenho,1
221,extrema,16
222,benevolência,3
223,público,1
224,ledor,1
225,tão,123
226,minguado,1
227,ainda,181
228,mudou,3
229,bem,95
230,dívida,2
231,reconhecimento,13
232,mais,298
233,podia,122
234,fiou,1
235,si,51
236,relendo,1
237,obra,17
238,depois,198
239,anos,28
240,achou,9
241,mau,7
242,incorreto,1
243,quanto,57
244,escrevera,4
245,corrigir,1
246,fora,68
247,mister,1
248,novo,71
249,tanto,46
250,lhe,271
251,carece,1
252,tempo,176
253,sobra,3
254,tédio,3
255,labor,1
256,ingrato,3
257,cingiuse,1
258,pois,80
259,pequenas,8
260,emendas,1
261,toleravam,1
262,plano,35
263,desalinho,1
264,estilo,2
265,castigado,1
266,os,1041
267,aventureiros,172
268,i,4
269,cenário,3
270,dos,359
271,cabeços,1
272,serra,3
273,órgãos,3
274,desliza,1
275,fio,9
276,água,44
277,dirige,1
278,norte,2
279,engrossado,1
280,mananciais,1
281,recebe,3
282,no,633
283,seu,771
284,curso,1
285,dez,14
286,léguas,6
287,tornase,2
288,rio,113
289,caudal,1
290,paquequer,20
291,saltando,5
292,cascata,8
293,enroscandose,4
294,serpente,8
295,vai,57
296,espreguiçar,1
297,na,443
298,várzea,10
299,embeber,1
300,paraíba,13
301,rola,4
302,majestosamente,1
303,vasto,10
304,leito,43
305,dirseia,11
306,vassalo,2
307,tributário,1
308,desse,60
309,rei,22
310,águas,30
311,pequeno,33
312,altivo,8
313,sobranceiro,5
314,contra,65
315,rochedos,10
316,curvase,1
317,humildemente,1
318,aos,138
319,pés,58
320,suserano,1
321,perde,4
322,então,141
323,selvática,1
324,suas,145
325,ondas,10
326,calmas,3
327,serenas,3
328,lago,3
329,revoltam,1
330,barcos,1
331,canoas,1
332,resvalam,1
333,sobre,412
334,elas,12
335,escravo,24
336,submisso,5
337,sofre,1
338,látego,1
339,senhor,40
340,lugar,49
341,deve,30
342,visto,35
343,sim,105
344,três,59
345,quatro,26
346,foz,1
347,onde,123
348,livre,32
349,filho,60
350,indômito,1
351,pátria,5
352,liberdade,12
353,aí,22
354,lançase,1
355,rápido,16
356,atravessa,3
357,florestas,18
358,tapir,4
359,espumando,1
360,deixando,14
361,pêlo,6
362,esparso,1
363,pelas,53
364,pontas,11
365,rochedo,27
366,enchendo,4
367,solidão,18
368,estampido,4
369,carreira,6
370,repente,57
371,faltalhe,2
372,espaço,21
373,fogelhe,1
374,terra,98
375,soberbo,7
376,recua,1
377,momento,174
378,concentrar,2
379,forças,21
380,precipitase,1
381,só,173
382,arremesso,2
383,tigre,22
384,presa,13
385,fatigado,2
386,esforço,23
387,supremo,15
388,estende,1
389,adormece,1
390,numa,38
391,linda,16
392,bacia,1
393,natureza,50
394,formou,3
395,noiva,6
396,sob,27
397,cortinas,10
398,trepadeiras,4
399,flores,20
400,agrestes,4
401,vegetação,3
402,nessas,3
403,paragens,3
404,ostentava,1
405,outrora,14
406,luxo,4
407,vigor,8
408,virgens,8
409,estendiam,2
410,longo,17
411,margens,11
412,corria,19
413,meio,150
